Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
1,3,28.70000,390,SHP,R1,08/09/2018,22.501,21.882,1.60,ASTON JYNX (22.61),8.51,11,M  C1,6.2,M,
8,4,28.60000,390,BAL,R9,12/09/2018,22.977,21.992,10.26,CHISELLER (22.26),8.8875,57,S,5.3,X67H,
4,8,28.80000,390,SHP,R4,20/09/2018,22.569,22.008,5.69,HEZA REAL DEAL (22.17),8.6275,55,M  C1,10.8,X67,
3,4,28.30000,410,HOR,R2,25/10/2018,23.846,23.047,5.63,CHOPS MALONE (23.45),10.7025,33,S  C2,8.4,X67H,
4,5,28.20000,410,HOR,R2,31/10/2018,23.774,23.194,3.76,SPEEDY SPYRO (23.51),10.5925,35,M  W  C1,4,7,
5,4,28.60000,390,SHP,R1,08/11/2018,22.776,22.13,7.00,HUSKY HOOFS (22.29),8.58,23,M  C1,3.9,RW,
3,4,28.90000,390,SHP,R3,15/11/2018,22.616,22.118,1.94,ASTON JAGGER (22.48),8.36,14,Q  W,9.4,X67,
4,4,28.90000,410,HOR,R3,20/11/2018,24.119,23.181,4.40,CRYMELON ANNIE (23.81),10.73025,66,M  W  C6,6.5,7,
S,,,410,HOR,R10,04/12/2018,,23.322,-,KRAKEN DUST (23.38),,,,0,X67H,
2,3,28.70000,300,HVL,R10,14/12/2018,17.084,16.826,0.64,JUST TALKING (17.04),4.011,3,M  C5,2.6,X67,
6,4,28.70000,390,WBL,R9,29/12/2018,22.735,22.071,4.01,DYNAMIC ROSS (22.45),8.75425,56,M  C1,5.7,RW,
1,3,28.30000,450,SHP,R5,11/02/2019,25.44,24.839,0.99,ASTON LEDGER (25.51),6.617,222,M,5.1,7,
5,6,28.20000,450,SHP,R7,04/03/2019,26.32,25.4,6.54,BE SEEING YOU (25.86),6.89,444,M  C5,4.2,6APM,
2,8,28.60000,450,SHP,R5,11/03/2019,25.587,25.402,2.64,KRAKEN JANE BABE (25.40),6.7625,222,M  C1,3.1,6APM,
4,6,28.70000,410,HOR,R3,04/06/2019,23.896,23.387,2.66,KRAKEN TEX (23.71),10.5075,24,M  C1,5.2,RW,
R,,,350,HVL,R5,14/06/2019,,19.265,-,MEEHAN LOUIE (19.51),,,,0,RWAPM,
S,,,425,BEN,R5,19/06/2019,,23.945,-,JUST LOVIN' IT (24.04),,,,0,RWAPM,
1,4,28.90000,410,HOR,R1,25/06/2019,23.505,23.105,3.60,SOLAR TINY (23.76),10.465,22,M,11.1,X67H,
6,5,28.90000,410,HOR,R5,02/07/2019,23.801,23.426,5.36,BRIAN HAROLD (23.43),10.6035,55,M  C4,8.5,X67F,
1,8,29.20000,450,SHP,R5,06/07/2019,25.382,25.382,2.57,TOURELLO (25.56),6.6,111,M,3.9,RWAPM,
3,4,28.70000,460,WGL,R8,16/07/2019,26.694,25.974,8.11,GRACE INTENTION (26.13),6.6335,256,M  C5,2.3,5,
5,3,29.00000,450,SHP,R6,27/07/2019,25.851,25.367,6.91,CHIEF'S SIDEKICK (25.37),6.665,334,M  C1,6.6,APM,
S,,,450,BAL,R9,31/07/2019,,25.282,-,LADY PANDORA (25.65),,,,0,5,
3,8,28.80000,460,WGL,R3,10/08/2019,26.61,26.015,2.37,VESPER BALE (26.44),6.55,113,M,8.3,RW,
4,2,29.00000,450,SHP,R5,21/08/2019,26.016,25.262,8.99,EASTSIDE (25.39),6.725,326,M  C8,1.8,5,
8,3,28.80000,460,WGL,R5,30/08/2019,26.897,25.92,10.70,ZEMIRA MIKADO (26.15),6.6575,388,Q  C8,7.9,RW,
2,6,28.90000,450,SHP,R8,07/09/2019,25.962,25.787,0.54,MO DRAGON (25.92),6.8,222,M  V14,1.3,T3-5,
3,4,29.00000,300,HVL,R12,15/12/2019,17.036,16.34,3.46,OCEAN MASTER (16.79),3.98,3,M  C5,10.1,5,
