Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
4,4,31.90000,450,BAL,R1,03/03/2018,25.745,25.34,2.31,POCKET DIAL (25.58),6.647,244,M,4.8,M,
1,5,29.90000,515,SAP,R4,13/05/2018,29.91,29.57,3.77,HOTSPUR JOEY (30.17),5.19,1111,M  C1  SW,6.6,MH,
1,3,29.80000,515,SAP,R4,20/05/2018,30.043,29.553,0.84,RAPPA FLASH (30.10),5.18,1111,Q  SW,4.4,MSF,
3,1,29.60000,515,SAN,R2,24/05/2018,30.168,29.288,9.49,JUNIPER PEARL (29.50),5.241,4333,M  C5,5.1,MF,
6,5,29.90000,525,MEA,R3,02/06/2018,30.807,29.94,4.94,ROCKIN' ROZ (30.46),5.34,4555,M  C2,10,X67,
2,8,30.00000,515,SAN,R1,07/06/2018,29.978,29.338,1.63,GALINA REZNIKOV (29.86),5.206,3333,M  R  C4  SW,10.5,X67,
4,6,30.00000,515,SAN,R2,14/06/2018,30.178,29.62,5.80,KINLOCH MOSS (29.77),5.267,5555,M  C1,14.2,RW,
7,3,29.70000,485,HOR,R4,19/06/2018,28.195,27.325,7.17,SPLINTER (27.69),6.60625,478,M  C4,3.9,X67,
5,8,30.00000,515,SAP,R2,24/06/2018,30.438,29.75,9.30,SNIPER STRIKE (29.79),5.2875,4555,M  C8,3.7,X67,
5,6,30.00000,525,MEA,R10,30/06/2018,31.029,30.007,13.26,KULU LIGHTNING (30.10),5.2575,2445,Q  C1,11.8,6G,
2,3,29.90000,515,SAP,R2,08/07/2018,29.953,29.65,0.26,WHOOMPH (29.94),5.15,2211,M  C1,2.8,X67H,
7,7,30.10000,515,SAN,R1,12/07/2018,30.62,29.4,16.21,SNIPER STRIKE (29.49),5.2485,6557,M  C11,18.2,X67F,
4,2,29.80000,525,MEP,R3,18/07/2018,30.59,30.127,2.80,AYO JOY (30.39),5.2,1111,M  C1,4.8,X67H,
1,6,30.00000,515,SAP,R3,22/07/2018,29.939,29.852,2.27,SARAH SMIRNOFF (30.10),5.1775,2111,M,2.7,6G,
6,2,29.80000,525,MEA,R3,28/07/2018,30.881,29.728,9.74,FEDERAL LILLY (30.20),5.29125,6777,M  C3  SW,12.7,5H,
4,6,29.80000,500,BEN,R8,03/08/2018,28.903,28.254,5.09,CARIBBEAN RED (28.55),6.78,245,M  C5,7.1,X45,
8,7,30.00000,515,SAP,R8,12/08/2018,30.753,29.465,15.53,OUR DIDDA (29.67),5.474,8888,M  C4,28.2,APM,
6,3,30.10000,515,SAN,R12,16/08/2018,30.305,29.485,6.77,LADY EMERALD (29.83),5.2275,3666,M  C1,15,5,
7,6,30.20000,520,GEL,R8,23/08/2018,30.797,29.798,14.27,NOT AVAILABLE (29.80),5.5045,3437,M  C5,120.8,SH,
4,5,29.90000,485,HOR,R8,31/08/2018,27.7,27.35,5.00,RAINS IT POURS (27.35),6.685,466,M  C1,17.9,X45,
3,1,29.90000,450,SHP,R5,06/09/2018,26.037,25.278,7.71,MAGIC JET (25.50),6.797,566,M  C4,8.7,RWH,
4,7,30.00000,450,WBL,R8,27/09/2018,25.713,25.285,6.11,RIXY YA PEST (25.29),6.795,444,M,16,X45,
8,1,30.00000,450,WBL,R6,04/10/2018,26.199,25.29,10.34,SUMMER SKYE (25.48),7.022,888,M  C4,13,5H,
4,3,30.40000,460,GEL,R6,12/10/2018,26.32,25.63,3.13,BURNOUT (26.10),6.8175,564,M  C1  SW,26.2,5,
4,6,30.30000,485,HOR,R6,23/10/2018,27.84,27.351,3.53,OFF THE BIT (27.59),6.6745,766,S  C5,9.2,5,
5,2,30.60000,515,SAP,R10,28/10/2018,30.279,29.475,8.19,SHANLYN GEORGIE (29.71),5.33425,7655,M,23.8,RW,
2,6,30.80000,460,GEL,R6,02/11/2018,26.438,25.785,2.77,MAJOR INNINGS (26.24),6.8745,542,M  C4,42.3,5,
6,4,30.40000,515,SAP,R9,06/11/2018,30.419,29.529,8.74,FULL TILT (29.81),5.2165,5556,M  C4,23,5H,
